InvoiceNo,StockCode,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
547019,20996,5,3/18/2011 14:54,0.42,17841,United Kingdom
547019,22149,1,3/18/2011 14:54,2.1,17841,United Kingdom
547019,20725,1,3/18/2011 14:54,1.65,17841,United Kingdom
581587,22629,12,12/9/2011 12:50,1.95,12680,France
581587,23256,4,12/9/2011 12:50,4.15,12680,France
581587,22613,12,12/9/2011 12:50,0.85,12680,France
581587,22899,6,12/9/2011 12:50,2.1,12680,France
581587,23254,4,12/9/2011 12:50,4.15,12680,France
581574,22621,12,12/9/2011 12:09,1.65,12526,Germany
581574,POST,2,12/9/2011 12:09,18,12526,Germany
581578,POST,3,12/9/2011 12:16,18,12713,Germany
581578,21124,24,12/9/2011 12:16,1.25,12713,Germany
581578,21122,24,12/9/2011 12:16,1.25,12713,Germany
581578,21121,24,12/9/2011 12:16,1.25,12713,Germany
581578,23389,4,12/9/2011 12:16,4.15,12713,Germany
581578,22556,12,12/9/2011 12:16,1.65,12713,Germany
581578,22976,12,12/9/2011 12:16,1.25,12713,Germany
581578,23255,12,12/9/2011 12:16,4.15,12713,Germany
581578,84997D,8,12/9/2011 12:16,4.15,12713,Germany
